book_id,author,auth_book_ID
0,Ikhwan al-Safa,1
0,Rabbi Dan Bridge,2
0,Rabbi Kalonymus,3
2,Christopher Melchert,4
3,Muhammad Ibn Ishaq Ibn Al-Nadim,5
3,Ibn Al-Nadim,6
3,Bayard Dodge,7
4,Morris Rossabi,8
5,Մատթեոս Ուռհայեցի (Matthew of Edessa),9
5,Grigor Erētsʻ,10
5,Ara Edmond Dostourian,11
6,Francine Herail,12
6,Wendy Cobcroft,13
7,Alexandru Madgearu,14
8,Paul Lemerle,15
8,Helen Lindsay,16
8,Ann Moffatt,17
9,George Everard Kidder Smith,18
10,Dimitri Gutas,19
11,Books LLC,20
12,Anonymous Persian Author of Late 10th Early 11th Century,21
13,Aaron ben Moses active 10th century. Ben-Asher,22
14,Adam Mez,23
15,Abd Allah ibn Abd al-Rahman active 10th century. Ibn Abi Zayd al-Qayrawani,24
16,Jantje Engelina Bazuin,25
16,Amr Osman,26
16,Rendtorff,27
17,Georgios Theotokis,28
18,active 10th century. Hassan bar Bahlul,29
19,Anne Hart,30
20,Philip Grierson,31
20,Mark Blackburn,32
21,Iuliia Stepanova,33
22,Douglas B. Price,34
22,Neil J. Twombly,35
23,Paolo Malanima,36
24,Patrick Wertmann,37
25,Tomáš Petráček,38
26,Source Wikipedia,39
27,Nico Kaptein,40
28,Feng Menglong,41
28,Yang Xianyi,42
28,Gladys Yang,43
29,Sacha Stern,44
30,Silviu Ota,45
31,Krikor Naregatzi,46
32,John Guy,47
33,Riccardo Zipoli,48
34,Dylan Esler,49
35,Przemysław Urbańczyk,50
36,Dorothy Whitelock,51
37,Neil Christie,52
37,Hajnalka Herold,53
38,Alain Delattre,54
38,Marie Legendre,55
38,Petra Sijpesteijn,56
39,Hala,57
40,Harriet O'Brien,58
41,Hugh Kennedy,59
42,Judith A. Green,60
43,Avicenna,61
44,Eileen Stephenson,62
45,André Wink,63
46,David Nicolle,64
46,Angus McBride,65
47,Mikhail Zhirohov,66
47,David Nicolle,67
47,Christa Hook,68
49,Angus Konstam,69
50,11th Century] King Bhojara?ja of Malwa,70
51,John Julius Norwich,71
52,Francine Herail,72
52,Wendy Cobcroft,73
53,Johnny Stonborough,74
54,Lucille Chia,75
55,Julie Ferris,76
56,Ann K.S. Lambton,77
57,Simon Beaufort,78
58,Stefan Sperl,79
59,Zsuzsanna Gulacsi,80
60,Robert Nixon,81
62,King of Malwa active 11th century. Bhojaraja,82
63,Active 11th Century Ibn Gabirol,83
65,Anonymous Persian Author of Late 10th Early 11th Century,84
66,King of Malwa active 11th century. Bhojaraja,85
67,11th century Kemarja Rjnaka,86
68,Éva M. Jeremiás,87
69,Stanislaw Rosik,88
70,I. Hrbek,89
71,L Foschia,90
71,C. Nemo-Pekelman,91
71,John V. Tolan,92
72,Bakirtzis,93
72,Charalambos,94
72,Kourkoutidou-Nikolaidou,95
73,Professor Robert Elsie,96
74,Eleanor J. Turnbull,97
75,Lady Sarashina,98
75,Murasaki Shikibu,99
75,Izumi Shikibu,100
76,Morten Ravn,101
77,Charles River Editors,102
78,Sarashina,103
79,Ahmad Nazmi,104
79,Janusz Danecki,105
80,Upinder Singh,106
81,T.H. White,107
82,Zena Halpern,108
83,Stephen Miller,109
83,Paul Gordon Schalow,110
84,Bernard McGinn,111
85,Florence L. Barclay,112
86,David Pryce,113
87,Jean Bony,114
88,Paula R. Stiles,115
89,Charles River Editors,116
90,The feudal history of the county of Derby : (chiefly during the 11th 12th and 13th centuries) by Joh,117
90,The feudal history of the county of Derby : (chiefly during the 11th 12th and 13th centuries) by Joh,118
91,Julian Humphrys,119
92,Joyce DiPastena,120
93,Malcolm Barber,121
93,Keith Bate,122
94,Othniel J. Seiden,123
95,Paul Thanasingh,124
95,John William,125
96,Mr Ibn Khalikan 12th century scholar from Erbil / KRG Ibn Khalikan,126
97,Thierry Gosset,127
98,Linda Lee Smith,128
98,Ben Wright,129
99,The feudal history of the county of Derby : (chiefly during the 11th 12th and 13th centuries) by Joh,130
99,The feudal history of the county of Derby : (chiefly during the 11th 12th and 13th centuries) by Joh,131
100,Մատթեոս Ուռհայեցի (Matthew of Edessa),132
100,Grigor Erētsʻ,133
100,Ara Edmond Dostourian,134
101,Marìa Bullòn-Fernandez,135
102,C. Warren Hollister,136
102,Eva Matthews Sanford,137
102,Bryce Lyon,138
103,James Burge,139
104,Barry Unsworth,140
105,Simon Beaufort,141
106,Jaihiun J. Kim,142
107,Alexandru Madgearu,143
108,Leslie A. Sconduto,144
109,Attar of Nishapur,145
109,Rustom Masani,146
109,Edward FitzGerald,147
110,Burhan Al-Din Active 12Th Century-13Th Century Zarnuji,148
111,(12th century) SCHOTA RUSTAWELI,149
112,Hugo 12th century Falcandus,150
