name,details_link,authors,avg_rating,count_ratings,editions_count,genre,reviews,price,price_type,pages_count,year_first_published,book_id
The Animals' Lawsuit Against Humanity: An Illustrated 10th Century Iraqi Ecological Fable,https://www.goodreads.com/book/show/183006.The_Animals_Lawsuit_Against_Humanity?from_search=true&from_srp=true&qid=NKupltxWtR&rank=1,"['Ikhwan al-Safa', 'Rabbi Dan Bridge', 'Rabbi Kalonymus']",4.25,171,13,10th-century,24,0.00,['Kindle'],170,950,0
"The Formation of the Sunni Schools of Law, 9th-10th Centuries C.E. (Studies in Islamic Law and Society, V. 4)",https://www.goodreads.com/book/show/4320749-the-formation-of-the-sunni-schools-of-law-9th-10th-centuries-c-e?from_search=true&from_srp=true&qid=NKupltxWtR&rank=3,['Christopher Melchert'],4.0,11,4,10th-century,3,,,244,1997,2
The Fihrist: a 10th Century AD Survey of Islamic Culture,https://www.goodreads.com/book/show/892500.The_Fihrist?from_search=true&from_srp=true&qid=NKupltxWtR&rank=4,"['Muhammad Ibn Ishaq Ibn Al-Nadim', 'Ibn Al-Nadim', 'Bayard Dodge']",4.0,8,4,10th-century,0,,,Hardcover,1970,3
"China Among Equals: The Middle Kingdom and Its Neighbors, 10Th-14th Centuries",https://www.goodreads.com/book/show/308054.China_Among_Equals?from_search=true&from_srp=true&qid=NKupltxWtR&rank=5,['Morris Rossabi'],3.92,12,2,10th-century,4,35.10,[],419,1983,4
Armenia and the Crusades: 10th to 12th Centuries: The Chronicle of Matthew of Edessa,https://www.goodreads.com/book/show/5103145-armenia-and-the-crusades?from_search=true&from_srp=true&qid=NKupltxWtR&rank=6,"['Մատթեոս Ուռհայեցի (Matthew of Edessa)', 'Grigor Erētsʻ', 'Ara Edmond Dostourian']",4.3,10,4,10th-century,0,,,392,1140,5
Emperor and Aristocracy in Heian Japan: 10th and 11th centuries,https://www.goodreads.com/book/show/19833934-emperor-and-aristocracy-in-heian-japan?from_search=true&from_srp=true&qid=NKupltxWtR&rank=7,"['Francine Herail', 'Wendy Cobcroft']",3.17,6,1,10th-century,1,,,330,2013,6
"Byzantine Military Organization on the Danube, 10th-12th Centuries (East Central and Eastern Europe in the Middle Ages, 450-1450, 22)",https://www.goodreads.com/book/show/18102497-byzantine-military-organization-on-the-danube-10th-12th-centuries?from_search=true&from_srp=true&qid=NKupltxWtR&rank=8,['Alexandru Madgearu'],4.4,5,4,10th-century,0,,,224,2013,7
Byzantine Humanism: the First Phase: Notes and Remarks on Education and Culture in Byzantium from its Origins to the 10th Century.,https://www.goodreads.com/book/show/22364132-byzantine-humanism?from_search=true&from_srp=true&qid=NKupltxWtR&rank=9,"['Paul Lemerle', 'Helen Lindsay', 'Ann Moffatt']",4.67,15,4,10th-century,1,,,379,1971,8
Source Book of American Architecture: 500 Notable Buildings from the 10th Century to the Present,https://www.goodreads.com/book/show/1443011.Source_Book_of_American_Architecture?from_search=true&from_srp=true&qid=NKupltxWtR&rank=10,['George Everard Kidder Smith'],3.75,4,2,10th-century,0,,,678,1996,9
"Greek Thought, Arabic Culture: The Graeco-Arabic Translation Movement in Baghdad and Early 'Abbasid Society (2nd-4th/8th-10th centuries)",https://www.goodreads.com/book/show/1356059.Greek_Thought_Arabic_Culture?from_search=true&from_srp=true&qid=NKupltxWtR&rank=11,['Dimitri Gutas'],4.16,160,20,10th-century,23,44.99,[],248,1998,10
"10th Century in Japan: Heian Period, Kana, Military History of Japan, Iwashimizu Hachiman-G, Buddhism in Japan, Genpei War, Rashomon",https://www.goodreads.com/book/show/9051040-10th-century-in-japan?from_search=true&from_srp=true&qid=NKupltxWtR&rank=12,['Books LLC'],5.0,1,1,10th-century,0,,,46,2010,11
"Ilm At-Tasawwuf. ""The Science of Sufism""",https://www.goodreads.com/book/show/107703662-ilm-at-tasawwuf-the-science-of-sufism?from_search=true&from_srp=true&qid=NKupltxWtR&rank=13,['Anonymous Persian Author of Late 10th Early 11th Century'],0.0,0,1,10th-century,0,,,469,2012,12
Dikduke Ha-Teamim / Mesudar Bi-Shelemut ... Al Yede Yitshak Ber Ve-Herman Lebrekht Shtrak (1879) [Leather Bound],https://www.goodreads.com/book/show/124095867-dikduke-ha-teamim-mesudar-bi-shelemut-al-yede-yitshak-ber-ve-herma?from_search=true&from_srp=true&qid=NKupltxWtR&rank=14,['Aaron ben Moses active 10th century. Ben-Asher'],0.0,0,1,10th-century,0,,,146,2022,13
