book_id,book_title,avg_rating,count_ratings,genre,reviews,pages_count,year_first_published
0,The Animals' Lawsuit Against Humanity: An Illustrated 10th Century Iraqi Ecological Fable,4.25,171,10th-century,24,170,950
2,"The Formation of the Sunni Schools of Law, 9th-10th Centuries C.E. (Studies in Islamic Law and Society, V. 4)",4.0,11,10th-century,3,244,1997
3,The Fihrist: a 10th Century AD Survey of Islamic Culture,4.0,8,10th-century,0,Hardcover,1970
4,"China Among Equals: The Middle Kingdom and Its Neighbors, 10Th-14th Centuries",3.92,12,10th-century,4,419,1983
5,Armenia and the Crusades: 10th to 12th Centuries: The Chronicle of Matthew of Edessa,4.3,10,10th-century,0,392,1140
6,Emperor and Aristocracy in Heian Japan: 10th and 11th centuries,3.17,6,10th-century,1,330,2013
7,"Byzantine Military Organization on the Danube, 10th-12th Centuries (East Central and Eastern Europe in the Middle Ages, 450-1450, 22)",4.4,5,10th-century,0,224,2013
8,Byzantine Humanism: the First Phase: Notes and Remarks on Education and Culture in Byzantium from its Origins to the 10th Century.,4.67,15,10th-century,1,379,1971
9,Source Book of American Architecture: 500 Notable Buildings from the 10th Century to the Present,3.75,4,10th-century,0,678,1996
10,"Greek Thought, Arabic Culture: The Graeco-Arabic Translation Movement in Baghdad and Early 'Abbasid Society (2nd-4th/8th-10th centuries)",4.16,160,10th-century,23,248,1998
11,"10th Century in Japan: Heian Period, Kana, Military History of Japan, Iwashimizu Hachiman-G, Buddhism in Japan, Genpei War, Rashomon",5.0,1,10th-century,0,46,2010
12,"Ilm At-Tasawwuf. ""The Science of Sufism""",0.0,0,10th-century,0,469,2012
13,Dikduke Ha-Teamim / Mesudar Bi-Shelemut ... Al Yede Yitshak Ber Ve-Herman Lebrekht Shtrak (1879) [Leather Bound],0.0,0,10th-century,0,146,2022
14,"The Renaissance of Islam: History, Culture and Society in the 10th Century Muslim World",3.0,2,10th-century,0,544,2024
15,Kifayat Al-Talib Al-Rabbani Li-Risalah / Ibn Abi Zayd Al-Qayrawani. (1877) Volume [Leather Bound],0.0,0,10th-century,0,510,2022
16,The Ẓāhirī Madhhab (3rd/9th-10th/16th Century): A Textualist Theory of Islamic Law,3.0,3,10th-century,1,316,2014
17,Byzantine Military Tactics in Syria and Mesopotamia in the 10th Century: A Comparative Study,4.0,5,10th-century,1,360,2018
18,Lexicon syriacum auctore Hassano bar Bahlule voces syriacas græcasque cum glossis syriacis et arabicis complectens; e pluribus codicibus edidit et notulis instruxit Rubens Duval,0.0,0,10th-century,0,508,1970
19,Adventures in My Beloved Medieval Alania and Beyond: A Time-Travel Novel Set in the 10th Century Caucasus Mountains,5.0,2,10th-century,1,324,2009
20,"Medieval European Coinage: Volume 1, The Early Middle Ages (5th–10th Centuries) (Medieval European Coinage, Series Number 1)",4.83,6,10th-century,1,700,1987
21,The Burial Dress of the Rus' in the Upper Volga Region (Late 10th-13th Centuries),0.0,0,10th-century,0,416,2017
22,"The Phantom Limb Phenomenon: A Medical, Folkloric, and Historical Study : texts and translations of 10th to 20th century accounts of the miraculous restoration of lost body parts",3.67,3,10th-century,1,526,1978
23,"Pre-Modern European Economy: One Thousand Years (10th-19th Centuries) (Global Economic History Series, 5)",3.88,8,10th-century,1,443,1995
24,Sogdians in China. Archaeological and art historical analyses of tombs and texts from the 3rd to the 10th century AD.,4.5,2,10th-century,0,,
25,Power and Exploitation in the Czech Lands in the 10th - 12th Centuries : A Central European Perspective,4.0,1,10th-century,1,448,2017
26,"10th Century in India: Rashtrakuta Dynasty, Western Chalukya Empire, Amoghavarsha, Krishna III, Govinda III, Dhruva Dharavarsha, Indra III",5.0,2,10th-century,1,26,2011
27,Muhammad's Birthday Festival: Early History in the Central Muslim Lands and Development in the Muslim West Until the 10th/16th Century,4.62,13,10th-century,3,196,1993
28,The Courtesan's Jewel Box: Chinese Stories of the 10Th-17th Centuries,3.75,16,10th-century,4,Hardcover,1981
29,"Calendar and Community: A History of the Jewish Calendar, 2nd Century BCE to 10th Century CE",0.0,0,10th-century,0,312,2001
30,"The Mortuary Archaeology of the Medieval Banat 10th-14th Centuries (East Central and Eastern Europe in the Middle Ages, 450-1450, 26)",0.0,0,10th-century,0,408,2014
31,Nareg - a 10th century monk's conversations with God,5.0,3,10th-century,1,,
32,Oriental Trade Ceramics In Southeast Asia: 10th To 16th Century,5.0,1,10th-century,0,96,1980
33,"Irreverent Persia: Invective, Satirical and Burlesque Poetry from the Origins to the Timurid Period (10th to 15th century) (Iranian Studies Series)",0.0,0,10th-century,0,232,2015
34,"The Lamp for the Eye of Contemplation: The Samten Migdron by Nubchen Sangye Yeshe, a 10th-century Tibetan Buddhist Text on Meditation",0.0,0,10th-century,0,538,2023
35,The Neighbours of Poland in the 10th Century,5.0,2,10th-century,0,203,2000
36,"History, law, and literature in 10th-11th century England (Collected studies series)",4.0,2,10th-century,0,1,1981
37,Fortified Settlements in Early Medieval Europe: Defended Communities of the 8th-10th Centuries,0.0,0,10th-century,0,352,2016
38,Authority and Control in the Countryside: From Antiquity to Islam in the Mediterranean and Near East (6th-10th Century),3.0,2,10th-century,0,612,2018
39,"The Homely Touch: Folk Poetry of Old India : Selections from the 10th Century Sattasai : A Prakrit Anthology (Indo-Aryan Languages and Literature Series, V. 1) (English and Prakrit Languages Edition)",0.0,0,10th-century,0,73,1986
40,"Queen Emma: A History of Power, Love, and Greed in 11th-Century England",3.81,779,11th-century,79,234,2005
41,The Prophet and the Age of the Caliphates: The Islamic Near East from the 6th to the 11th Century,3.7,161,11th-century,11,440,1986
42,"The Normans: Power, Conquest and Culture in 11th Century Europe",3.46,81,11th-century,26,368,2022
43,Avicenna's Medicine: A New Translation of the 11th-Century Canon with Practical Applications for Integrative Health Care,4.3,243,11th-century,18,480,1025
44,Byzantine History in the 11th Century: A Brief Introduction,4.06,36,11th-century,10,80,2019
45,"Al-Hind, the Making of the Indo-Islamic World: Early Medieval India and the Expansion of Islam 7Th-11th Centuries (001)",4.15,13,11th-century,3,404,1990
46,The Armies of Islam 7th-11th Centuries (Osprey Men-at-Arms #125),3.87,45,11th-century,3,48,1982
47,"The Khazars: A Judeo-Turkish Empire of the Steppes, 7th -11th Centuries A.D.",4.03,35,11th-century,6,48,2019
49,Byzantine Warship vs Arab Warship: 7th–11th centuries,3.91,11,11th-century,1,80,2015
50,S?r?n?ga?rapraka?s?a of Bhoja [Srngaraprakasa]; Part 1 - Adhya?ya 1-14 (Harvard Oriental Series #53) by 11th Century] King Bhojara?ja of Malwa (1998-02-01),0.0,0,11th-century,0,Hardcover,
51,The Other Conquest: The Norman Conquest of Sicily in the 11th Century,4.35,242,11th-century,21,355,1967
52,Emperor and Aristocracy in Heian Japan: 10th and 11th centuries,3.17,6,11th-century,1,330,2013
53,Wild Field: An 11th Century Love Story,4.1,10,11th-century,5,474,2020
54,"Printing for Profit: The Commercial Publishers of Jianyang, Fujian (11th-17th Centuries)",4.67,6,11th-century,3,472,2003
55,Viking World: A Guide to 11th Century Scandinavia,3.88,8,11th-century,1,32,2000
56,"Continuity and Change in Medieval Persia: Aspects of Administrative, Economic and Social History, 11Th-14th Century",3.74,31,11th-century,5,425,1988
57,"King's Spies, The: An 11th century mystery (A Geoffrey Mappestone Mystery Book 4)",4.04,83,11th-century,9,320,2004
58,Mannerism in Arabic Poetry: A Structural Analysis of Selected Texts (3rd Century AH/9th Century AD – 5th Century AH/11th Century AD) (Cambridge Studies in Islamic Civilization),4.67,3,11th-century,2,240,1989
59,Mediaeval Manichaean Book Art: A Codicological Study of Iranian and Turkic Illuminated Book Fragments from 8th-11th Century East Central Asia,3.0,1,11th-century,1,252,2005
60,The Wizard Popes of the 11th Century: by Pseudo-Cardinal Beno,5.0,2,11th-century,0,12,2021
62,Campuramayanam / Sribhojanrpatina Viricitam ; [Edited By] Jivananda Vidyasagara Bhattacaryya (1878) [Leather Bound],0.0,0,11th-century,0,136,2022
63,"The Fountain of Life, Fons Vitae",4.07,14,11th-century,0,152,1042
65,"Ilm At-Tasawwuf. ""The Science of Sufism""",0.0,0,11th-century,0,469,2012
66,Campuramayanam / Sribhojarajasarvabhaumaviracitam ; Laksmanasuriviracitam Yuddhakandam ; Ramacandrabudhendraviracitayavyakhyaya Sametam ; Laksmanasarmatanujanusha (1917) [Leather Bound],0.0,0,11th-century,0,404,2022
67,Vijñnabhairava,0.0,0,11th-century,0,248,2011
68,Irano-Turkic Cultural Contacts in the 11th-17th Centuries,4.0,2,11th-century,0,253,2003
69,"The Slavic Religion in the Light of 11th- And 12th-Century German Chronicles (Thietmar of Merseburg, Adam of Bremen, Helmold of Bosau): Studies on the Christian Interpretation of Pre-Christian Cults and Beliefs in the Middle Ages",0.0,0,11th-century,0,452,2020
70,General History of Africa volume 3: Africa from the 7th to the 11th Century (Unesco General History of Africa,4.0,2,11th-century,0,416,1992
71,"Jews in Early Christian Law: Byzantium and the Latin West, 6th-11th Centuries",0.0,0,11th-century,0,379,2014
72,Mosaics of Thessaloniki: 4th to 11th Century,4.5,2,11th-century,0,360,2012
73,"Early Albania: A Reader of Historical Texts 11th-17th Centuries (Balkanologische Verèoffentlichungen,)",4.0,2,11th-century,1,233,2003
74,"Ten Centuries of Spanish Poetry: An Anthology in English Verse with Original Texts, from the 11th Century to the Generation of 1898",4.67,3,11th-century,0,468,1955
75,The Lives of Three Women in 11th Century Japan (100 Copy Collector's Edition),0.0,0,11th-century,0,160,2020
76,"Viking Age War Fleets: Shipbuilding, resource management and maritime warfare in 11th-century Denmark (Maritime Culture of the North)",4.5,2,11th-century,1,164,2017
77,The Byzantine-Seljuk Wars: The History and Legacy of the Battles for Asia Minor in the 11th Century,3.0,1,11th-century,0,81,2023
78,As I Crossed a Bridge of Dreams: Recollections of a Woman in 11th-Century Japan (Penguin Classics) by Sarashina(1994-05-03),4.0,2,11th-century,1,Paperback,
79,Commercial Relations Between Arabs and Slavs: (9th-11th centuries),3.67,3,11th-century,0,298,2015
80,A History of Ancient and Early Medieval India: From the Stone Age to the 12th Century,4.15,784,12th-century,50,677,2006
81,The Book of Beasts: Being a Translation from a Latin Bestiary of the 12th Century,4.06,353,12th-century,27,296,1125
82,The Templar Mission to Oak Island and Beyond: Search for Ancient Secrets: The Shocking Revelations of a 12th Century Manuscript,4.13,439,12th-century,38,371,2017
