id,genre,genre_link
0,10th-century,https://www.goodreads.com/search?q=10th-century
1,11th-century,https://www.goodreads.com/search?q=11th-century
2,12th-century,https://www.goodreads.com/search?q=12th-century
3,13th-century,https://www.goodreads.com/search?q=13th-century
4,14th-century,https://www.goodreads.com/search?q=14th-century
5,15th-century,https://www.goodreads.com/search?q=15th-century
6,16th-century,https://www.goodreads.com/search?q=16th-century
7,17th-century,https://www.goodreads.com/search?q=17th-century
8,1864-shenandoah-campaign,https://www.goodreads.com/search?q=1864-shenandoah-campaign
9,18th-century,https://www.goodreads.com/search?q=18th-century
10,1917,https://www.goodreads.com/search?q=1917
11,19th-century,https://www.goodreads.com/search?q=19th-century
12,1st-grade,https://www.goodreads.com/search?q=1st-grade
13,20th-century,https://www.goodreads.com/search?q=20th-century
14,21st-century,https://www.goodreads.com/search?q=21st-century
15,2nd-grade,https://www.goodreads.com/search?q=2nd-grade
16,40k,https://www.goodreads.com/search?q=40k
17,ableism,https://www.goodreads.com/search?q=ableism
18,abuse,https://www.goodreads.com/search?q=abuse
19,academia,https://www.goodreads.com/search?q=academia
20,academic,https://www.goodreads.com/search?q=academic
21,academics,https://www.goodreads.com/search?q=academics
22,accounting,https://www.goodreads.com/search?q=accounting
23,accra,https://www.goodreads.com/search?q=accra
24,action,https://www.goodreads.com/search?q=action
25,activism,https://www.goodreads.com/search?q=activism
26,adaptations,https://www.goodreads.com/search?q=adaptations
27,addis-ababa,https://www.goodreads.com/search?q=addis-ababa
28,addition,https://www.goodreads.com/search?q=addition
29,adhd,https://www.goodreads.com/search?q=adhd
30,adolescence,https://www.goodreads.com/search?q=adolescence
31,adoption,https://www.goodreads.com/search?q=adoption
32,adult,https://www.goodreads.com/search?q=adult
33,adult-colouring-books,https://www.goodreads.com/search?q=adult-colouring-books
34,adult-fiction,https://www.goodreads.com/search?q=adult-fiction
35,adventure,https://www.goodreads.com/search?q=adventure
36,adventurers,https://www.goodreads.com/search?q=adventurers
37,aeroplanes,https://www.goodreads.com/search?q=aeroplanes
38,africa,https://www.goodreads.com/search?q=africa
39,african-american,https://www.goodreads.com/search?q=african-american
40,african-american-literature,https://www.goodreads.com/search?q=african-american-literature
41,african-american-romance,https://www.goodreads.com/search?q=african-american-romance
42,african-literature,https://www.goodreads.com/search?q=african-literature
43,agender,https://www.goodreads.com/search?q=agender
44,agriculture,https://www.goodreads.com/search?q=agriculture
45,ahistory,https://www.goodreads.com/search?q=ahistory
46,aircraft,https://www.goodreads.com/search?q=aircraft
47,airliners,https://www.goodreads.com/search?q=airliners
48,airships,https://www.goodreads.com/search?q=airships
49,albanian-literature,https://www.goodreads.com/search?q=albanian-literature
50,alchemy,https://www.goodreads.com/search?q=alchemy
51,alcohol,https://www.goodreads.com/search?q=alcohol
52,alexandria,https://www.goodreads.com/search?q=alexandria
53,algebra,https://www.goodreads.com/search?q=algebra
54,algeria,https://www.goodreads.com/search?q=algeria
55,algiers,https://www.goodreads.com/search?q=algiers
56,algorithms,https://www.goodreads.com/search?q=algorithms
57,aliens,https://www.goodreads.com/search?q=aliens
58,alternate-history,https://www.goodreads.com/search?q=alternate-history
59,alternate-universe,https://www.goodreads.com/search?q=alternate-universe
60,alternative-medicine,https://www.goodreads.com/search?q=alternative-medicine
61,amateur-sleuth,https://www.goodreads.com/search?q=amateur-sleuth
62,amazon,https://www.goodreads.com/search?q=amazon
63,ambulance-service,https://www.goodreads.com/search?q=ambulance-service
64,ambulances,https://www.goodreads.com/search?q=ambulances
65,american,https://www.goodreads.com/search?q=american
66,american-civil-war,https://www.goodreads.com/search?q=american-civil-war
67,american-classics,https://www.goodreads.com/search?q=american-classics
68,american-fiction,https://www.goodreads.com/search?q=american-fiction
69,american-history,https://www.goodreads.com/search?q=american-history
70,american-novels,https://www.goodreads.com/search?q=american-novels
71,american-revolution,https://www.goodreads.com/search?q=american-revolution
72,american-revolutionary-war,https://www.goodreads.com/search?q=american-revolutionary-war
73,americana,https://www.goodreads.com/search?q=americana
74,amish,https://www.goodreads.com/search?q=amish
75,amish-fiction,https://www.goodreads.com/search?q=amish-fiction
76,amish-historical-romance-fiction,https://www.goodreads.com/search?q=amish-historical-romance-fiction
77,ancient,https://www.goodreads.com/search?q=ancient
78,ancient-history,https://www.goodreads.com/search?q=ancient-history
79,androgyne,https://www.goodreads.com/search?q=androgyne
80,angels,https://www.goodreads.com/search?q=angels
81,anglo-saxon,https://www.goodreads.com/search?q=anglo-saxon
82,angola,https://www.goodreads.com/search?q=angola
83,animal-fiction,https://www.goodreads.com/search?q=animal-fiction
84,animals,https://www.goodreads.com/search?q=animals
85,anime,https://www.goodreads.com/search?q=anime
86,anthologies,https://www.goodreads.com/search?q=anthologies
87,anthropology,https://www.goodreads.com/search?q=anthropology
88,anthropomorphic,https://www.goodreads.com/search?q=anthropomorphic
89,anti-intellectualism,https://www.goodreads.com/search?q=anti-intellectualism
90,anti-racist,https://www.goodreads.com/search?q=anti-racist
91,anti-science,https://www.goodreads.com/search?q=anti-science
92,antietam-campaign,https://www.goodreads.com/search?q=antietam-campaign
93,antiquities,https://www.goodreads.com/search?q=antiquities
94,antisemitism,https://www.goodreads.com/search?q=antisemitism
95,apocalyptic,https://www.goodreads.com/search?q=apocalyptic
96,apple,https://www.goodreads.com/search?q=apple
97,applied-mathematics,https://www.goodreads.com/search?q=applied-mathematics
98,appomattox-campaign,https://www.goodreads.com/search?q=appomattox-campaign
99,archaeology,https://www.goodreads.com/search?q=archaeology
100,architecture,https://www.goodreads.com/search?q=architecture
101,arithmetic,https://www.goodreads.com/search?q=arithmetic
102,army-of-northern-virginia,https://www.goodreads.com/search?q=army-of-northern-virginia
103,army-of-tennessee,https://www.goodreads.com/search?q=army-of-tennessee
104,army-of-the-potomac,https://www.goodreads.com/search?q=army-of-the-potomac
105,art,https://www.goodreads.com/search?q=art
106,art-and-photography,https://www.goodreads.com/search?q=art-and-photography
107,art-books-monographs,https://www.goodreads.com/search?q=art-books-monographs
108,art-design,https://www.goodreads.com/search?q=art-design
109,art-history,https://www.goodreads.com/search?q=art-history
110,arthurian,https://www.goodreads.com/search?q=arthurian
